Tên sách,Giá,Đã bán,Đánh giá,Link hình ảnh,Nội dung
Sách - Nào mình cùng vẽ - Rừng xanh bí ẩn,36000,2,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lezgluw9dniv1c_tn,"Rừng là nhà chung của thực vật quý hiếm và động vật hoang dã đa dạng. Sư tử mạnh mẽ, khỉ thông minh, lười ngủ nướng... Hãy tự khám phá bí ẩn động vật qua nét vẽ. Nông trại có thiên nga, lợn, vịt... Tự vẽ những loài vật ngộ nghĩnh. Đại dương kì thú với các loài động vật. Vẽ thế giới đa dạng. Tập sách ""Mình Cùng Vẽ"" hướng dẫn vẽ và khám phá thú vị. Tự sáng tạo và vẽ tác phẩm riêng."
Sách - Nào mình cùng vẽ - Khám phá đại dương,36000,2,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lezglv0f8yoae1_tn,"Nào Mình Cùng Vẽ - Khám Phá Đại Dương là cuốn sách kết hợp học vẽ và kiến thức cho trẻ em 6-13 tuổi. Sách hướng dẫn vẽ từng bước cùng kiến thức khoa học thú vị, giúp trẻ vừa học vẽ vừa khám phá về đại dương và động vật đa dạng. Trẻ em có thể tìm tòi, khám phá và sáng tạo bằng việc cầm bút và vẽ những tác phẩm hội họa đẹp."
Sách - Kim Đồng - STEM - Học viện.. ( Bộ 6 Cuốn Lẻ ),81000,20,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-letw9lzaf2iyee_tn,"Hãy đăng kí Học viện Phi công và thực hiện ước mơ trở thành phi công. Học các kỹ năng của phi công máy bay trực thăng, máy bay chở khách và máy bay phản lực. Học cách định hướng, cất cánh, hạ cánh, kiểm tra phối hợp tay-mắt và làm cánh quạt máy bay trực thăng. Sẵn sàng cất cánh!"
Kim Đồng -  Sách - Cách trí giáo khoa thư,61200,5,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-letwaglxlhlj5c_tn,"Bộ sách Việt Nam tiểu học tùng thư, đầu tiên bằng chữ Quốc ngữ, đã được soạn vào những năm 20 của thế kỉ 20. Bộ sách này, như Quốc văn giáo khoa thư, Luân lý giáo khoa thư, Sử ký giáo khoa thư... là kí ức tốt đẹp của nhiều thế hệ học sinh. Cách trí giáo khoa thư giới thiệu về thế giới tự nhiên, với các chương về Loài người, Động vật, Thực vật... Đây là nguồn tài liệu tham khảo quý giá cho lịch sử giáo dục và nhà soạn sách."
Kim Đồng -  Sách - Bật mí tất tần tật về bạn thân,54000,6,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-letw9i9jus2272_tn,"Cuốn sách ""Bật mí tất tần tật về bạn thân"" của tác giả Françoize Boucher giúp bạn hiểu về bạn bè và cách giữ gìn tình bạn. Sử dụng ngôn ngữ trẻ trung và hình vẽ sinh động, sách này đưa bạn vào thế giới sáng tạo, hài hước và thông minh của Françoize Boucher."
Kim Đồng -  Sách - Giải thích giùm em - Tại sao cá mập không cần nha sĩ?,80100,2,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-letw9mz2yowa30_tn,"Cuốn sách ""22 câu chuyện vui nhộn và thông minh"" giải đáp những câu hỏi hóc búa của trẻ em và người lớn. Tại sao chim cánh cụt không bị lạnh chân? Có thể vừa trồng cây chuối và ăn uống được không? Tại sao có nhiều ngôn ngữ trên thế giới? Cuốn sách này hứa hẹn mang đến niềm vui và tiếng cười sảng khoái cho tất cả."
Kim Đồng - Sách - Gì thế nhỉ? Cùng bé khám phá cuộc sống,52200,32,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-letwagxl4fii61_tn,"Người ta chữa ống xả như thế nào?
Chú thợ máy Tom dùng những dụng cụ nào?
Máy nâng thủy lực dùng để làm gì?
- Những câu chuyện khám phá đầu tiên cho trẻ từ 3 tuổi
- Chủ đề đến từ đời sống thực tế
- Câu đố thú vị kèm đáp án dưới ô lật
- Mô hình hỏi - đáp phù hợp với trẻ em"
Bộ Sách - Thẻ học tập thông minh - 2017,86400,16,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-23030-nxmqmvgy9aov50_tn,"Với bộ sưu tập “Thẻ học tập thông minh”, em sẽ khám phá sự rộng lớn của thế giới bên ngoài thông qua 50 thẻ tương tác thú vị."
Combo Sách - Khám Phá Thế Giới ( 3 Quyển ),88000,10,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-23020-8wvss8rbqsnv3d_tn,"Cuốn sách ""Khám Phá Thế Giới - Lịch Sử Thế Giới Qua 25 Thành Phố"" ghi lại trang vàng lịch sử của 25 thành phố nổi tiếng. Từ Jericho cổ đến Tokyo hiện đại, sách này khám phá sự ra đời của dân chủ ở Athens, con đường rực rỡ ở Benin và cuộc sống ở Hàm Dương cổ. Với bản đồ và dấu ấn nổi bật, cuốn sách mang đến bức tranh toàn cảnh về nền văn minh suốt lịch sử của loài người."
Sách - Đố em phân biệt !,18000,2,1.0,https://down-vn.img.susercontent.com/file/sg-11134201-22120-9kia7hidepkv27_tn,"Bộ sách ""Đố Em Phân Biệt!"" so sánh 10 cặp động vật trong tự nhiên thường bị nhầm lẫn. Thông qua hình minh họa đáng yêu và nội dung đơn giản, sách sẽ chỉ rõ những đặc điểm khác nhau về ngoại hình và thói quen sinh hoạt của từng loài. Mời các em mở sách và khám phá hành trình thú vị này!"
