Tên sách,Giá,Đã bán,Đánh giá,Link hình ảnh,Nội dung
Kim Đồng - Sách -  Lời thương gửi con yêu - Con chẳng hề nhỏ bé (2020),31500,5,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-letw9qwv77mffe_tn,"Bộ sách: Lời thương gửi con yêuMột bộ sách nhỏ tôn vinh tình yêu thương, sự khích lệ và sự khác biệt của mỗi người. Mời các bạn tìm đọc trọn bộ sách Lời Thương Gửi Con Yêu: Sự Khác Biệt Đặc Biệt Lời Thương Gửi Con Yêu: Con Sẽ Làm Được! Lời Thương Gửi Con Yêu: Đã Đến Giáng Sinh Chưa? Lời Thương Gửi Con Yêu: Con Chẳng Hề Nhỏ Bé Lời Thương Gửi Con Yêu: Ngày Con Chào Đời"
Sách - Mùa Giáng Sinh rực rỡ,22500,4,5.0,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lezhhi18metm91_tn,"Bộ sách ""Thủa đầu đời"" kể về Jules, một cậu bé hiếu động. Mẹ luôn khuyên Jules trở nên người lớn hơn. Jules tò mò về cuộc sống khi lớn lên. Bà nội giúp Jules khám phá bí ẩn về tương lai. Tuổi thơ quan trọng vì những kí ức tuổi thơ ở lại mãi sau này. Mời các bạn đọc theo dõi câu chuyện ngọt ngào về thời thơ ấu trong bộ sách ""Thuở đầu đời""."
Sách - Kim Đồng - Nàng Bạch Tuyết và bảy chú lùn,43200,4,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lewp5y52wjgq7a_tn,"Các bạn độc giả nhỏ yêu quý,
“Gương kia ngự ở trên tường
Thế gian ai đẹp được dường như ta?”
Ai đã từng đọc câu chuyện “Nàng Bạch Tuyết” chắc sẽ không thể quên câu hỏi ấy...
Và cho đến tận ngày nay, chắc hẳn vẫn có những người nhìn vào gương và tự cất lên câu hỏi này?
Yoko IMOTO"
Sách - Kim Đồng - Những lời yêu thương - Dấu chân ai thế nhỉ?,43200,10,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lewocn88n1qia0_tn,"Mỗi loài vật có hình hài, thức ăn và dấu chân khác nhau! Mẹ hãy cùng bé quan sát, phân biệt dấu chân của từng loài vật, từ đó hình thành và nuôi dưỡng thói quen tìm hiểu, khám phá tự nhiên của bé nhé!"
Sách - Kim Đồng - Phòng khám cho ma,40500,25,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lewmlaxvkcwnc5_tn,"Phòng khám Hozuki và thế giới chúng ta đang sống không thuộc cùng một thế giới. Không phải ai cũng đến được phòng khám. Vậy tại sao tớ lại được gặp Hozuki Kyujuro, vị bác sĩ duy nhất trên đời biết chữa bệnh cho yêu ma nhỉ....?
Câu chuyện của tớ như thế nào? Mời các bạn cùng theo dõi!"
Sách - Kim Đồng - Tranh truyện Ehon Nhật Bản - Vé số yêu thương,32400,17,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lewkwrhux37u46_tn,"Mẹ lúc nào cũng nghĩ đến bản thân mình sau cùng...
Câu chuyện cảm động về hai đứa trẻ đi tìm mua một món quà Giáng sinh cho mẹ.
Và món quà tuyệt vời mà các bé đã gửi tặng đến người mẹ là…"
Sách - Kim Đồng - Tớ yêu cơ thể mình,40500,6,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lewkndyuulxm73_tn,"Bộ sách ""Tớ yêu cơ thể mình"" từ Nhật giúp bé khám phá và yêu quý cơ thể. Bài học nhẹ nhàng, hình ảnh lớn, dễ nhìn, phù hợp cho cả các bé mới bắt đầu đọc."
Sách - Kim Đồng - Cùng chế tạo đồ chơi - Sáng tạo với vật dụng thường ngày,34200,8,4.5,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lewfukafiudz78_tn,"CÙNG IN, CẮT VÀ ĐÓNG DẤU THEO CÁCH CỦA EM ĐỂ CHẾ TẠO NHỮNG MÓN ĐỒ CHƠI TUYỆT ĐẸP THEO NHỮNG MẪU ĐƠN GIẢN, DỄ LÀM NÀY NHÉ!

Trong cuốn sách này, chúng mình sẽ tìm hiểu cách làm dây kem trang trí, con rối que kem và hệ mặt trời xà phòng – toàn bằng các vật dụng hằng ngày.. Có đến 12 mẫu cực kì thú vị đang chờ em khám phá!"
Tranh truyện lịch sử Việt Nam - Mai Thúc Loan,18000,5,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-23030-jprmnjdqffovc9_tn,"Đọc ""Tranh truyện lịch sử Việt Nam"" để làm quen dễ dàng với lịch sử qua các câu chuyện ngắn gọn, đẹp mắt. Qua sách, cảm nhận hành trình của Mai Thúc Loan - nhà lãnh đạo khởi nghĩa chống nhà Đường và bảo vệ độc lập."
Sách - Sói Xám sục sơn xanh,36000,4,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-23030-brb27f0bieovd3_tn,"Sáng nay, Sói Xám xanh lét từ mõm đến đuôi, nhưng nhanh chóng nghĩ ra kế hoạch tuyệt vời. Liệu hôm nay có phải là ngày may mắn của Sói Xám? Bộ sách hài hước về Sói Xám ngốc nghếch sẽ mang lại niềm vui và yêu thích cho độc giả."
Sói Xám xốn xang - Nxb Kim Đồng,36000,4,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-23030-oliy7f0bieova9_tn,"Bộ sách ""Sói xám"" với chú Sói Xám xui xẻo, vụng về và ngốc nghếch sẽ khiến bạn phải thay đổi suy nghĩ về loài sói thông minh và tinh quái. Dù xui xẻo, Sói Xám vẫn đáng yêu và đáng thương. Bộ sách gồm 5 câu chuyện hài hước về những ngày đen đủi của Sói Xám, mang lại tràng cười sảng khoái và sự yêu mến cho nhân vật đáng yêu này."
Sách - Kích Thích Trí Tưởng Tượng Cho Bé (6 Cuốn),19800,16,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-23030-0jgw2qa7c5nv8a_tn,"Chú tắc kè nghịch ngợm thích trò chơi trốn tìm. Bộ sách ""Kích thích trí tưởng tượng cho bé"" gồm 6 cuốn với những câu chuyện về Hươu Cao Cổ, Sư Tử, Cá Voi, Tắc Kè, Cừu, Gấu. Sách có hình ảnh tươi sáng và cách dẫn dắt vui nhộn, giúp bố mẹ và bé tạo kỷ niệm đáng nhớ khi đọc sách."
Sách - Truyện cổ tích nổi tiếng song ngữ Việt - Anh ( Tập Lẻ ),31500,35,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-23020-fj7hnclzkvnvd2_tn,"Bộ sách ""Truyện cổ tích nổi tiếng - song ngữ Việt Anh"" kể về chú vịt con xấu xí, nhưng thông qua lòng dũng cảm và sự thông minh, chú đã khiến mọi người nhận ra rằng không nên ghét ai chỉ vì khác mình. Sách viết bằng hai ngôn ngữ Tiếng Việt và Tiếng Anh, giúp trẻ học ngoại ngữ hiệu quả."
