Tên sách,Giá,Đã bán,Đánh giá,Link hình ảnh,Nội dung
Sách - Kim Đồng - Làm chị thật khó ( Tập 1 vs Tập 2 ),45000,8,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lewp8s2tqbfb18_tn,"Bộ sách truyện hài hước về chị em, đón nhận em trai thông minh tinh nghịch. Cảnh vui, hờn dỗi thể hiện tình yêu thương, gần gũi gia đình. Đoạt nhiều giải thưởng thiếu nhi, khuyến nghị đọc cùng con. Kết nối, vun đắp tình cảm gia đình, phù hợp cha mẹ 8X hai con. Đọc truyện, xem tranh, thực hành kĩ năng tinh tế, ý nghĩa cho cả gia đình."
"Sách - Kim Đồng - Cùng con vượt ""bão"" tuổi teen",43200,10,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lewon6gboviibe_tn,"""Bão tuổi teen"" thường xảy ra với mọi người trên đường trưởng thành. Phụ huynh cần nhớ rằng trong khủng hoảng, con cần sự hỗ trợ như chiếc phao. Cuốn sách này kể về bà mẹ giúp hai con vượt qua ""bão"" teen. Con được tự do và sự hỗ trợ để học mà không mệt mỏi. Chia sẻ chân thành và thú vị sẽ giúp phụ huynh trở thành đồng hành thật sự trong hành trình trưởng thành của con."
Sách - Kim Đồng - Trên đồi đất đỏ,28800,4,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lewdz283mmx64d_tn,"“Tôi kiếm sống với mây tre lá ở Đồi Đất Đỏ gần năm năm. Khu rừng nầy giáp ranh với rừng cấm Cát Tiên hiện nay. Cô bé tên Linh trong truyện là con gái lớn của tôi. Năm ấy túng cùng quá tôi phải đưa vợ và con vào rừng kiếm sống.
Đêm nào thức giấc tôi vẫn day dứt nhớ về những ngày tháng ấy, và cây sốt rét rừng suýt lấy mạng con gái tôi. Không trải ra lòng tôi không yên mà ngủ được…
Thực là vậy.”"
Kim Đồng - Sách - Văn học tuổi hoa - Hoa cúc vàng mang màu nắng,37800,1,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lev0ohkt2no7b7_tn,"Cuộc sống trẻ tuổi của tôi yên bình, chỉ có vài cuộc gặp gỡ mới, ngắn ngủi như cơn gió. Nhớ những cuộc gặp đáng nhớ từ những duyên lành, thơm thảo. Gặp gỡ thú vị, gợi nhớ về thơ mộng. Viết cuốn sách để hoài niệm về những cuộc gặp gỡ đã qua!"
Kim Đồng - Sách - Con mèo đi giày cao gót - Cổ tích kể mới,151200,3,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-letwah3evwpj8a_tn,"Không chỉ là cổ tích, mà còn là những ý tứ độc đáo, mới mẻ, đầy bất ngờ… Không chỉ là cổ tích kì ảo, mà còn hàm chứa thế giới hiện đại gần gũi và lung linh lôi cuốn… Không chỉ là ước mong người hiền gặp lành, kẻ xấu bị trừng phạt, mà còn là khát vọng nhân văn cho cái xấu được cảm hóa… Không chỉ là cổ tích mà còn hơn thế nữa…"
Kim Đồng - Sách - Tục ngữ phong dao - Tập 1,104400,7,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-letwahhudlqvd5_tn,"Tục ngữ Việt - kho vàng của tinh thần sáng tạo, truyền khẩu qua hàng nghìn năm. Nhà nghiên cứu Lê Thanh Hiền và học giả Nguyễn Văn Ngọc (Ôn Như) đóng góp tích cực trong văn hóa, giáo dục Việt Nam. Nguyễn Văn Ngọc ghi danh với 18 công trình và chuyên đề văn học, bảo tồn di sản văn hóa dân tộc."
Kim Đồng - Sách - Tục ngữ phong dao - Tập 2,67500,6,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-letwahhkb72ibf_tn,"
""Tục ngữ phong dao - kho vàng tinh thần của nhân loại, lưu giữ truyền khẩu hàng ngàn năm, do người lao động Việt sáng tạo. Nhà nghiên cứu Lê Thanh Hiền ghi nhận giá trị này. Nguyễn Văn Ngọc, học giả thế kỷ 20, đóng góp văn hóa, giáo dục Việt, bảo tồn di sản văn hóa, với 18 công trình tiếng Việt và nghệ thuật hát Chèo."""
Sách -Thơ hay viết cho thiếu nhi ( Bộ 3 Quyển Lẻ ),54000,8,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-23030-rihq3q9wlwovb2_tn,"Có ai mà không nhớ những vần thơ dịu dàng êm ái:

Làm anh khó đấy
Phải đâu chuyện đùa
Với em bé gái
Phải “người lớn” cơ...

Cái “người lớn” là sự chiều chuộng, dỗ dành, yêu thương. Nhà thơ Phan Thị Thanh Nhàn là vậy, lúc nào cũng rất “người lớn”, như một nàng tiên ốc hiện ra để quan tâm, săn sóc mọi người, như một cây kim nhỏ miệt mài vá may những chiếc áo muôn màu, riêng mình suốt đời mặc chiếc áo trắng tinh..."
Sách - Thám tử học trò - Bí mật khu nhà hoang,37800,5,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-23030-b5fgb7ub9aova7_tn,"Những câu chuyện về học trò làm “thám tử” trong bộ truyện này không chỉ hấp dẫn, phiêu lưu, hồi hộp, mà còn khiến các bạn đọc nhỏ tuổi phải bất ngờ mỉm cười...
Những câu chuyện đầy ắp tình cảm bạn bè, gia đình, tinh thần đoàn kết, tính hướng thiện trừ gian... hồn nhiên và trong sáng.
Đọc truyện, các em được biết thêm về nhiều miền quê, nhiều nghề nghiệp và các lĩnh vực khoa học, văn hoá nghệ thuật… khác nhau, bổ sung cho kho tàng kiến thức của mình. "
Sách - Những cuộc phiêu lưu của bác sĩ Dolittle,40500,6,5.0,https://down-vn.img.susercontent.com/file/sg-11134201-23010-n5a3hhpbcdmvc2_tn,"Bộ sách: Tủ sách các nền văn học thế giớiJohn Dolittle là bác sĩ thú y nổi tiếng thế giới, có biệt tài nghe hiểu ngôn ngữ các loài vật. Một lần, nhận được lời cầu cứu của bầy khỉ đang mắc dịch bệnh, ông lên đường tới châu Phi. Và thế là những cuộc phiêu lưu kì thú không tưởng mở ra, nguy hiểm, khó khăn nhưng cũng hào hứng, tuyệt vời."
